id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
1788235,PRINCESS,0.4,VS1,F,VG,VG,GD,N,1338.58,4.22,4.12,2.99,0,0,0,0,0,0,1,0,4.0,3.0,1.0,1.0,2.0,0.0
1786741,PRINCESS,0.4,VVS1,H,EX,EX,VG,N,1338.58,4.06,4.01,2.93,0,0,0,0,0,0,1,0,2.0,5.0,0.0,0.0,1.0,0.0
1738335,PRINCESS,0.5,VS2,J,EX,EX,VG,N,1340.19,4.24,4.21,3.06,0,0,0,0,0,0,1,0,5.0,7.0,0.0,0.0,1.0,0.0
1666229,PRINCESS,0.75,SI2,L,EX,EX,VG,F,1340.49,4.94,4.84,3.48,0,0,0,0,0,0,1,0,7.0,9.0,0.0,0.0,1.0,3.0
1774642,PRINCESS,0.4,VVS2,G,EX,EX,VG,N,1342.6,4.02,3.98,2.86,0,0,0,0,0,0,1,0,3.0,4.0,0.0,0.0,1.0,0.0
1772711,PRINCESS,0.5,SI2,F,VG,EX,VG,F,1344.4,4.44,4.34,3.22,0,0,0,0,0,0,1,0,7.0,3.0,1.0,0.0,1.0,3.0
1796221,PRINCESS,0.4,VS2,D,VG,VG,GD,F,1344.58,4.08,4.01,2.97,0,0,0,0,0,0,1,0,5.0,1.0,1.0,1.0,2.0,3.0
1800363,PRINCESS,0.4,VS1,F,EX,VG,GD,N,1344.68,4.08,4.02,2.93,0,0,0,0,0,0,1,0,4.0,3.0,0.0,1.0,2.0,0.0
1669841,PRINCESS,0.52,SI2,E,EX,VG,GD,N,1345.72,4.45,4.39,3.16,0,0,0,0,0,0,1,0,7.0,2.0,0.0,1.0,2.0,0.0
1633065,PRINCESS,0.5,SI1,G,EX,VG,VG,N,1346.11,4.32,4.25,3.09,0,0,0,0,0,0,1,0,6.0,4.0,0.0,1.0,1.0,0.0
1800365,PRINCESS,0.42,VS2,F,EX,EX,GD,N,1346.68,4.21,4.19,2.96,0,0,0,0,0,0,1,0,5.0,3.0,0.0,0.0,2.0,0.0
1772715,PRINCESS,0.4,VS2,F,EX,EX,VG,N,1347.34,4.08,4.02,2.84,0,0,0,0,0,0,1,0,5.0,3.0,0.0,0.0,1.0,0.0
1771756,PRINCESS,0.4,VS2,F,EX,VG,VG,N,1347.34,4.06,4.02,2.86,0,0,0,0,0,0,1,0,5.0,3.0,0.0,1.0,1.0,0.0
1663480,PRINCESS,0.51,SI1,G,EX,VG,FR,N,1347.6,4.54,4.46,3.1,0,0,0,0,0,0,1,0,6.0,4.0,0.0,1.0,3.0,0.0
1800984,PRINCESS,0.47,VS2,H,EX,EX,VG,F,1347.69,4.29,4.21,3.06,0,0,0,0,0,0,1,0,5.0,5.0,0.0,0.0,1.0,3.0
1785710,PRINCESS,0.51,SI1,F,EX,EX,GD,N,1541.31,4.41,4.32,3.06,0,0,0,0,0,0,1,0,6.0,3.0,0.0,0.0,2.0,0.0
1756700,PRINCESS,0.56,SI2,F,EX,VG,VG,N,1541.82,4.56,4.51,3.24,0,0,0,0,0,0,1,0,7.0,3.0,0.0,1.0,1.0,0.0
